976,AOAMBG,Anillos de calamar,1/4,taza,38,38,34,5.9,0.5,1.2,ND,3.8,ND,ND,ND,ND,ND,ND,ND,87.4,ND,ND,ND,11.9,16.8,ND,ND,0.3,16.3
977,AOAMBG,Armadillo,30,gr,30,21,35,6.1,1.1,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6.3,ND,ND,ND,2.3,ND
978,AOAMBG,Arrachera de avestruz,40,gr,40,40,36,8.2,0.4,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,24.0,ND,ND,ND,ND,7.9,ND,ND,ND,32.0
979,AOAMBG,Atún blanco en agua (drenado),1/3,lata,33,33,43,7.9,1.0,0.0,ND,2.0,ND,ND,ND,ND,ND,ND,ND,14.1,ND,ND,ND,4.7,21.9,ND,ND,0.3,125.7
980,AOAMBG,Atún en agua drenado,1/3,lata,33,33,39,8.5,0.3,0.0,ND,5.7,ND,ND,ND,ND,ND,ND,ND,10.0,ND,ND,ND,3.7,26.8,ND,ND,0.5,112.7
981,AOAMBG,Atún fresco,30,gr,30,30,43,7.0,1.5,0.0,ND,196.6,ND,ND,ND,ND,ND,ND,ND,11.3,ND,ND,ND,2.5,11.0,ND,ND,0.3,11.6
982,AOAMBG,Atún horneado,20,gr,20,20,37,6.0,1.3,0.0,ND,151.4,ND,ND,ND,ND,ND,ND,ND,9.9,ND,ND,ND,2.0,9.4,ND,ND,0.3,10.0
983,AOAMBG,Atún lihgt (drenado),1/3,lata,33,33,39,8.5,0.3,0.0,ND,5.7,ND,ND,ND,ND,ND,ND,ND,10.0,ND,ND,ND,3.7,26.8,ND,ND,0.5,112.7
984,AOAMBG,Bacalao enlatado,35,gr,35,35,37,8.0,0.3,0.0,ND,4.9,ND,ND,ND,ND,ND,ND,ND,19.3,ND,ND,ND,7.4,3.0,ND,ND,0.2,76.3
985,AOAMBG,Bacalao fresco,45,gr,45,45,37,8.0,0.3,0.0,ND,5.3,ND,ND,ND,ND,ND,ND,ND,19.4,ND,ND,ND,7.4,14.9,ND,ND,0.2,24.4
986,AOAMBG,Bacalao noruego,15,gr,15,15,44,9.4,0.4,0.0,ND,6.4,ND,ND,ND,ND,ND,ND,ND,22.8,ND,ND,ND,24.0,22.2,ND,ND,0.4,1054.1
987,AOAMBG,Bacalao seco,15,gr,15,15,44,9.4,0.4,0.0,ND,6.4,ND,ND,ND,ND,ND,ND,ND,22.8,ND,ND,ND,24.0,22.2,ND,ND,0.4,1054.1
988,AOAMBG,Bagre,80,gr,80,40,38,7.0,1.1,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,30.0,ND,ND,ND,12.8,5.6,ND,ND,0.2,24.0
989,AOAMBG,Bagre fileteado,40,gr,40,40,38,7.0,1.1,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,30.0,ND,ND,ND,12.8,5.6,ND,ND,0.2,24.0
